等级,臂力,灵巧,体魄,内息,罡气,气血,内力,外功,内功,外防,内防,外防穿透,内防穿透,外暴击,内暴击,抗外暴,抗内暴,命中,闪避,攻击速度,福缘,移动速度,气血恢复速度,内力恢复速度
1,1,1,1,1,1,250,88,12,0,124,83,10,0,267,0,46,33,124,246,0.8,30,350,10,5
2,2,2,2,2,2,272,96,13,0,153,102,13,0,305,0,52,38,138,273,0.8,38,350,12,6
3,3,3,3,3,3,304,107,15,0,183,122,15,0,343,0,59,43,152,300,0.8,46,350,14,7
4,4,4,4,4,4,341,120,17,0,214,142,18,0,382,0,66,48,167,328,0.8,54,350,16,8
5,5,5,5,5,5,391,138,19,0,246,164,21,0,422,0,73,53,181,357,0.8,62,350,18,9
6,6,6,6,6,6,433,153,21,0,280,186,24,0,462,0,80,58,196,385,0.8,70,350,20,10
7,7,7,7,7,7,485,171,24,0,314,209,27,0,504,0,87,63,211,415,0.8,78,350,22,11
8,8,8,8,8,8,546,193,27,0,350,233,30,0,547,0,95,69,227,444,0.8,87,350,24,12
9,9,9,9,9,9,607,215,30,0,388,258,33,0,590,0,103,75,242,475,0.8,95,350,26,13
10,10,10,10,10,10,683,241,33,0,427,284,37,0,634,0,111,80,258,505,0.8,104,350,28,14
11,11,11,11,11,11,762,269,37,0,467,311,41,0,679,0,119,86,274,536,0.8,113,350,30,15
12,12,12,12,12,12,853,302,42,0,508,339,44,0,726,0,127,92,291,568,0.8,122,350,32,16
13,13,13,13,13,13,952,337,46,0,551,367,48,0,773,0,136,99,308,600,0.8,131,350,34,17
14,14,14,14,14,14,1065,377,52,0,595,397,53,0,821,0,145,105,325,632,0.8,140,350,36,18
15,15,15,15,15,15,1192,422,58,0,641,427,57,0,870,0,154,112,342,665,0.8,149,350,38,19
16,16,16,16,16,16,1272,450,62,0,688,459,61,0,920,0,163,118,360,698,0.8,159,350,40,20
17,17,17,17,17,17,1356,480,65,0,737,491,66,0,970,0,172,125,378,732,0.8,168,350,42,21
18,18,18,18,18,18,1448,513,70,0,787,524,71,0,1022,0,182,132,396,767,0.8,178,350,44,22
19,19,19,19,19,19,1547,547,74,0,838,559,76,0,1075,0,191,139,414,802,0.8,187,350,46,23
20,20,20,20,20,20,1651,585,79,0,892,594,81,0,1129,0,202,146,433,837,0.8,197,350,48,24
21,21,21,21,21,21,1761,623,84,0,946,631,86,0,1183,0,212,154,452,873,0.8,207,350,50,25
22,22,22,22,22,22,1879,665,90,0,1002,668,92,0,1239,0,222,161,472,909,0.8,217,350,52,26
23,23,23,23,23,23,2005,710,95,0,1060,707,97,0,1296,0,233,169,492,946,0.8,227,350,54,27
24,24,24,24,24,24,2139,757,102,0,1120,746,103,0,1354,0,244,177,512,983,0.8,238,350,56,28
25,25,25,25,25,25,2283,808,108,0,1180,787,109,0,1413,0,255,185,532,1021,0.8,248,350,58,29
26,26,26,26,26,26,2434,862,115,0,1243,829,116,0,1472,0,266,194,553,1059,0.8,258,350,60,30
27,27,27,27,27,27,2597,919,122,0,1307,871,122,0,1533,0,278,202,574,1098,0.8,269,350,62,31
28,28,28,28,28,28,2769,980,130,0,1373,915,129,0,1595,0,290,211,595,1137,0.8,280,350,64,32
29,29,29,29,29,29,2954,1046,139,0,1441,961,136,0,1658,0,302,219,617,1177,0.8,291,350,66,33
30,30,30,30,30,30,3150,1115,148,0,1511,1007,143,0,1722,0,314,228,639,1218,0.8,301,350,68,34
31,31,31,31,31,31,3428,1214,160,0,1582,1054,150,0,1787,0,327,238,661,1259,0.8,313,350,70,35
32,32,32,32,32,32,3729,1320,174,0,1655,1103,158,0,1853,0,340,247,683,1300,0.8,324,350,72,36
33,33,33,33,33,33,4058,1437,189,0,1730,1153,166,0,1921,0,353,257,706,1342,0.8,335,350,74,37
34,34,34,34,34,34,4415,1563,205,0,1806,1204,174,0,1989,0,366,266,730,1385,0.8,346,350,76,38
35,35,35,35,35,35,4802,1700,223,0,1885,1256,182,0,2058,0,380,276,753,1428,0.8,358,350,78,39
36,36,36,36,36,36,5224,1850,242,0,1965,1310,191,0,2129,0,394,286,777,1471,0.8,369,350,80,40
37,37,37,37,37,37,5682,2012,263,0,2048,1365,200,0,2201,0,408,297,802,1515,0.8,381,350,82,41
38,38,38,38,38,38,6180,2188,286,0,2132,1421,209,0,2274,0,422,307,826,1560,0.8,393,350,84,42
39,39,39,39,39,39,6721,2380,310,0,2218,1479,218,0,2348,0,437,318,851,1605,0.8,405,350,86,43
40,40,40,40,40,40,7309,2588,337,0,2306,1537,228,0,2423,0,452,329,877,1651,0.8,417,350,88,44
41,41,41,41,41,41,7787,2758,358,0,2397,1598,238,0,2499,0,467,340,903,1697,0.8,429,350,90,45
42,42,42,42,42,42,8297,2938,381,0,2489,1659,248,0,2577,0,483,351,929,1744,0.8,441,350,92,46
43,43,43,43,43,43,8839,3130,406,0,2583,1722,259,0,2655,0,499,363,955,1792,0.8,454,350,94,47
44,44,44,44,44,44,9415,3334,432,0,2680,1786,270,0,2735,0,515,374,982,1840,0.8,466,350,96,48
45,45,45,45,45,45,10029,3552,459,0,2779,1852,281,0,2816,0,531,386,1009,1888,0.8,479,350,98,49
46,46,46,46,46,46,10681,3783,488,0,2880,1920,292,0,2898,0,548,399,1037,1937,0.8,492,350,100,50
47,47,47,47,47,47,11376,4029,520,0,2983,1988,304,0,2982,0,565,411,1065,1987,0.8,505,350,102,51
48,48,48,48,48,48,12115,4290,553,0,3088,2058,316,0,3067,0,583,424,1093,2038,0.8,518,350,104,52
49,49,49,49,49,49,12900,4568,588,0,3196,2130,329,0,3153,0,600,437,1122,2089,0.8,531,350,106,53
50,50,50,50,50,50,13735,4864,626,0,3306,2204,341,0,3240,0,618,450,1151,2140,0.8,544,350,108,54
51,51,51,51,51,51,14414,5105,656,0,3418,2278,355,0,3329,0,637,463,1181,2192,0.8,557,350,110,55
52,52,52,52,52,52,15126,5357,688,0,3533,2355,368,0,3418,0,655,477,1211,2245,0.8,571,350,112,56
53,53,53,53,53,53,15871,5621,721,0,3650,2433,382,0,3510,0,675,490,1241,2298,0.8,584,350,114,57
54,54,54,54,54,54,16651,5897,756,0,3770,2513,397,0,3602,0,694,504,1272,2352,0.8,598,350,116,58
55,55,55,55,55,55,17469,6187,793,0,3892,2594,411,0,3696,0,714,519,1303,2407,0.8,612,350,118,59
56,56,56,56,56,56,18325,6490,831,0,4016,2677,426,0,3791,0,734,533,1335,2462,0.8,626,350,120,60
57,57,57,57,57,57,19222,6807,871,0,4144,2762,442,0,3887,0,754,548,1367,2518,0.8,640,350,122,61
58,58,58,58,58,58,20159,7139,913,0,4274,2849,458,0,3985,0,775,563,1399,2574,0.8,654,350,124,62
59,59,59,59,59,59,21142,7487,958,0,4406,2937,474,0,4084,0,796,579,1432,2631,0.8,668,350,126,63
60,60,60,60,60,60,22170,7852,1004,0,4541,3027,491,0,4184,0,817,594,1466,2689,0.8,683,350,128,64
61,61,61,61,61,61,23246,8233,1052,0,4680,3120,509,0,4286,0,839,610,1499,2747,0.8,697,350,130,65
62,62,62,62,62,62,24372,8632,1103,0,4820,3213,526,0,4390,0,861,626,1534,2806,0.8,712,350,132,66
63,63,63,63,63,63,25550,9049,1156,0,4964,3309,545,0,4494,0,884,643,1568,2866,0.8,726,350,134,67
64,64,64,64,64,64,26783,9485,1212,0,5111,3407,564,0,4600,0,907,659,1603,2926,0.8,741,350,136,68
65,65,65,65,65,65,28073,9942,1271,0,5260,3507,583,0,4708,0,930,677,1639,2987,0.8,756,350,138,69
66,66,66,66,66,66,29421,10420,1332,0,5413,3608,603,0,4817,0,954,694,1675,3049,0.8,771,350,140,70
67,67,67,67,67,67,30831,10919,1396,0,5568,3712,623,0,4928,0,978,711,1711,3111,0.8,787,350,142,71
68,68,68,68,68,68,32306,11441,1464,0,5727,3818,644,0,5040,0,1003,729,1748,3174,0.8,802,350,144,72
69,69,69,69,69,69,33848,11988,1534,0,5889,3926,665,0,5153,0,1028,747,1786,3238,0.8,817,350,146,73
70,70,70,70,70,70,35461,12559,1608,0,6054,4036,687,0,5268,0,1053,766,1824,3302,0.8,833,350,148,74
71,71,71,71,71,71,37145,13155,1685,0,6222,4148,710,0,5384,0,1079,785,1862,3367,0.8,849,350,150,75
72,72,72,72,72,72,38907,13779,1766,0,6394,4262,733,0,5502,0,1106,804,1901,3433,0.8,864,350,152,76
73,73,73,73,73,73,40747,14431,1851,0,6569,4379,757,0,5622,0,1132,823,1940,3499,0.8,880,350,154,77
74,74,74,74,74,74,42670,15112,1940,0,6747,4498,781,0,5743,0,1159,843,1980,3566,0.8,896,350,156,78
75,75,75,75,75,75,44679,15823,2033,0,6929,4619,806,0,5866,0,1187,863,2021,3634,0.8,913,350,158,79
76,76,76,76,76,76,46777,16567,2131,0,7115,4743,832,0,5990,0,1215,884,2061,3703,0.8,929,350,160,80
77,77,77,77,77,77,48969,17343,2233,0,7304,4869,859,0,6116,0,1244,904,2103,3772,0.8,945,350,162,81
78,78,78,78,78,78,51258,18153,2340,0,7497,4998,886,0,6244,0,1273,925,2145,3842,0.8,962,350,164,82
79,79,79,79,79,79,53647,19000,2452,0,7693,5129,914,0,6373,0,1302,947,2187,3913,0.8,979,350,166,83
80,80,80,80,80,80,56142,19883,2570,0,7893,5262,942,0,6504,0,1332,969,2230,3984,0.8,995,350,168,84
81,81,81,81,81,81,58746,20806,2693,0,8098,5398,972,0,6636,0,1363,991,2273,4056,0.8,1012,350,170,85
82,82,82,82,82,82,61463,21768,2822,0,8306,5537,1002,0,6770,0,1393,1013,2317,4129,0.8,1029,350,172,86
83,83,83,83,83,83,64298,22772,2957,0,8518,5679,1033,0,6906,0,1425,1036,2362,4203,0.8,1046,350,174,87
84,84,84,84,84,84,67256,23820,3098,0,8734,5823,1065,0,7044,0,1457,1059,2407,4277,0.8,1064,350,176,88
85,85,85,85,85,85,70341,24912,3246,0,8955,5970,1098,0,7183,0,1489,1083,2453,4352,0.8,1081,350,178,89
86,86,86,86,86,86,73559,26052,3402,0,9180,6120,1131,0,7324,0,1522,1107,2499,4428,0.8,1099,350,180,90
87,87,87,87,87,87,76914,27240,3564,0,9409,6272,1166,0,7467,0,1556,1131,2545,4505,0.8,1116,350,182,91
88,88,88,88,88,88,80412,28479,3734,0,9642,6428,1201,0,7612,0,1590,1156,2593,4582,0.8,1134,350,184,92
89,89,89,89,89,89,84058,29770,3912,0,9880,6587,1237,0,7758,0,1625,1181,2641,4661,0.8,1152,350,186,93
90,90,90,90,90,90,87858,31116,4099,0,10123,6748,1275,0,7907,0,1660,1207,2689,4740,0.8,1170,350,188,94
91,91,91,91,91,91,91817,32518,4294,0,10370,6913,1313,0,8057,0,1695,1233,2738,4820,0.8,1188,350,190,95
92,92,92,92,92,92,95941,33979,4498,0,10622,7081,1352,0,8209,0,1732,1259,2788,4900,0.8,1206,350,192,96
93,93,93,93,93,93,100237,35500,4712,0,10879,7252,1393,0,8363,0,1769,1286,2838,4982,0.8,1225,350,194,97
94,94,94,94,94,94,104710,37085,4937,0,11141,7427,1434,0,8519,0,1806,1313,2889,5064,0.8,1243,350,196,98
95,95,95,95,95,95,109367,38734,5171,0,11407,7605,1477,0,8676,0,1844,1341,2940,5147,0.8,1262,350,198,99
96,96,96,96,96,96,114215,40451,5417,0,11680,7786,1520,0,8836,0,1883,1369,2992,5231,0.8,1281,350,200,100
97,97,97,97,97,97,119260,42237,5674,0,11957,7971,1565,0,8998,0,1922,1398,3045,5316,0.8,1300,350,202,101
98,98,98,98,98,98,124508,44096,5943,0,12240,8160,1611,0,9161,0,1962,1427,3098,5401,0.8,1319,350,204,102
99,99,99,99,99,99,129968,46030,6225,0,12528,8352,1659,0,9327,0,2003,1456,3152,5488,0.8,1338,350,206,103
