等级,臂力,灵巧,体魄,内息,罡气,气血,内力,外功,内功,外防,内防,外防穿透,内防穿透,外暴击,内暴击,抗外暴,抗内暴,命中,闪避,攻击速度,福缘,移动速度,气血恢复速度,内力恢复速度
1,1,1,1,1,1,177,120,0,12,0,124,0,10,0,206,33,41,124,308,0.65,30,400,10,5
2,2,2,2,2,2,193,130,0,13,0,153,0,13,0,234,38,47,138,341,0.65,38,400,12,6
3,3,3,3,3,3,215,145,0,15,0,183,0,15,0,264,43,53,152,376,0.65,46,400,14,7
4,4,4,4,4,4,241,163,0,17,0,214,0,18,0,294,48,60,167,411,0.65,54,400,16,8
5,5,5,5,5,5,277,187,0,19,0,246,0,21,0,324,53,66,181,446,0.65,62,400,18,9
6,6,6,6,6,6,307,207,0,21,0,280,0,24,0,356,58,73,196,482,0.65,70,400,20,10
7,7,7,7,7,7,343,232,0,24,0,314,0,27,0,388,63,79,211,519,0.65,78,400,22,11
8,8,8,8,8,8,387,262,0,27,0,350,0,30,0,420,69,86,227,556,0.65,87,400,24,12
9,9,9,9,9,9,430,291,0,30,0,388,0,33,0,454,75,93,242,593,0.65,95,400,26,13
10,10,10,10,10,10,483,327,0,33,0,427,0,37,0,488,80,101,258,632,0.65,104,400,28,14
11,11,11,11,11,11,539,365,0,37,0,467,0,41,0,523,86,108,274,670,0.65,113,400,30,15
12,12,12,12,12,12,604,408,0,42,0,508,0,44,0,558,92,116,291,710,0.65,122,400,32,16
13,13,13,13,13,13,674,456,0,46,0,551,0,48,0,594,99,123,308,750,0.65,131,400,34,17
14,14,14,14,14,14,754,510,0,52,0,595,0,53,0,631,105,131,325,790,0.65,140,400,36,18
15,15,15,15,15,15,844,571,0,58,0,641,0,57,0,669,112,140,342,831,0.65,149,400,38,19
16,16,16,16,16,16,901,609,0,62,0,688,0,61,0,707,118,148,360,873,0.65,159,400,40,20
17,17,17,17,17,17,960,650,0,65,0,737,0,66,0,746,125,156,378,916,0.65,168,400,42,21
18,18,18,18,18,18,1026,694,0,70,0,787,0,71,0,786,132,165,396,958,0.65,178,400,44,22
19,19,19,19,19,19,1095,741,0,74,0,838,0,76,0,827,139,174,414,1002,0.65,187,400,46,23
20,20,20,20,20,20,1170,791,0,79,0,892,0,81,0,868,146,183,433,1046,0.65,197,400,48,24
21,21,21,21,21,21,1247,844,0,84,0,946,0,86,0,910,154,192,452,1091,0.65,207,400,50,25
22,22,22,22,22,22,1330,900,0,90,0,1002,0,92,0,953,161,202,472,1136,0.65,217,400,52,26
23,23,23,23,23,23,1420,960,0,95,0,1060,0,97,0,997,169,212,492,1182,0.65,227,400,54,27
24,24,24,24,24,24,1515,1025,0,102,0,1120,0,103,0,1041,177,222,512,1229,0.65,238,400,56,28
25,25,25,25,25,25,1617,1094,0,108,0,1180,0,109,0,1086,185,232,532,1276,0.65,248,400,58,29
26,26,26,26,26,26,1724,1166,0,115,0,1243,0,116,0,1132,194,242,553,1324,0.65,258,400,60,30
27,27,27,27,27,27,1839,1244,0,122,0,1307,0,122,0,1179,202,253,574,1373,0.65,269,400,62,31
28,28,28,28,28,28,1961,1327,0,130,0,1373,0,129,0,1227,211,263,595,1422,0.65,280,400,64,32
29,29,29,29,29,29,2092,1415,0,139,0,1441,0,136,0,1275,219,274,617,1472,0.65,291,400,66,33
30,30,30,30,30,30,2231,1509,0,148,0,1511,0,143,0,1325,228,286,639,1522,0.65,301,400,68,34
31,31,31,31,31,31,2428,1642,0,160,0,1582,0,150,0,1375,238,297,661,1573,0.65,313,400,70,35
32,32,32,32,32,32,2641,1787,0,174,0,1655,0,158,0,1426,247,309,683,1625,0.65,324,400,72,36
33,33,33,33,33,33,2874,1944,0,189,0,1730,0,166,0,1477,257,321,706,1678,0.65,335,400,74,37
34,34,34,34,34,34,3127,2115,0,205,0,1806,0,174,0,1530,266,333,730,1731,0.65,346,400,76,38
35,35,35,35,35,35,3401,2301,0,223,0,1885,0,182,0,1583,276,345,753,1785,0.65,358,400,78,39
36,36,36,36,36,36,3700,2503,0,242,0,1965,0,191,0,1638,286,358,777,1839,0.65,369,400,80,40
37,37,37,37,37,37,4025,2722,0,263,0,2048,0,200,0,1693,297,371,802,1894,0.65,381,400,82,41
38,38,38,38,38,38,4377,2961,0,286,0,2132,0,209,0,1749,307,384,826,1950,0.65,393,400,84,42
39,39,39,39,39,39,4760,3220,0,310,0,2218,0,218,0,1806,318,397,851,2007,0.65,405,400,86,43
40,40,40,40,40,40,5177,3502,0,337,0,2306,0,228,0,1864,329,411,877,2064,0.65,417,400,88,44
41,41,41,41,41,41,5516,3731,0,358,0,2397,0,238,0,1922,340,425,903,2122,0.65,429,400,90,45
42,42,42,42,42,42,5877,3975,0,381,0,2489,0,248,0,1982,351,439,929,2180,0.65,441,400,92,46
43,43,43,43,43,43,6261,4235,0,406,0,2583,0,259,0,2042,363,453,955,2240,0.65,454,400,94,47
44,44,44,44,44,44,6669,4511,0,432,0,2680,0,270,0,2104,374,468,982,2300,0.65,466,400,96,48
45,45,45,45,45,45,7104,4805,0,459,0,2779,0,281,0,2166,386,483,1009,2360,0.65,479,400,98,49
46,46,46,46,46,46,7566,5118,0,488,0,2880,0,292,0,2229,399,498,1037,2422,0.65,492,400,100,50
47,47,47,47,47,47,8058,5451,0,520,0,2983,0,304,0,2294,411,514,1065,2484,0.65,505,400,102,51
48,48,48,48,48,48,8581,5805,0,553,0,3088,0,316,0,2359,424,530,1093,2547,0.65,518,400,104,52
49,49,49,49,49,49,9137,6181,0,588,0,3196,0,329,0,2425,437,546,1122,2611,0.65,531,400,106,53
50,50,50,50,50,50,9729,6581,0,626,0,3306,0,341,0,2492,450,562,1151,2675,0.65,544,400,108,54
51,51,51,51,51,51,10210,6906,0,656,0,3418,0,355,0,2560,463,579,1181,2740,0.65,557,400,110,55
